2.5	6.7	0
3.5833333333	3.8	0
5.1666666667	6.4	0
0.4166666667	5.4	0
4	5	0
8.0833333333	5.9	0
0.5	5.9	0
1.9166666667	4.9	0
2	5.6	0
5.9166666667	4.9	0
6.9166666667	6.2	0
0.75	6.4	0
2.5	3.2	0
3.8333333333	4	0
3.3333333333	6	0
5.75	3.3	0
6.0833333333	5.6	0
6	5.8	0
2.9166666667	5.3	0
4.75	6.1	0
4.9166666667	5.7	0
1.9166666667	3.1	0
4.5	6.1	0
1.8333333333	6.9	0
2.5	4.7	0
1.1666666667	7	0
5.3333333333	3.2	0
3.1666666667	5.5	0
5.3333333333	6.4	0
6.3333333333	3.2	0
7.6666666667	5.8	0
7.5	4.7	0
8.3333333333	5.6	0
4.4166666667	6.1	0
2.0833333333	3.9	0
3.25	6.3	0
0.3333333333	5.6	0
7	6	0
1.4166666667	5.5	0
6.9166666667	1.3	1
0.3333333333	1.4	1
0.25	1.3	1
6.6666666667	1.1	1
1.0833333333	1.5	1
0.8333333333	1	1
1.6666666667	1.4	1
3.5833333333	1.3	1
4.3333333333	2	1
2.3333333333	1.5	1
6.9166666667	1	1
4.5	1.8	1
2.1666666667	1.6	1
5.5	1.5	1
1.5833333333	1.6	1
8.3333333333	1.8	1
7.6666666667	1.2	1
4.0833333333	2	1
2	1.5	1
6	1.3	1
6	1.8	1
6.9166666667	1.7	1
1.1666666667	1.1	1
0.3333333333	1.2	1
6.9166666667	2	1
1.1666666667	1.2	1
7.25	10.2	1
4	10.1	1
0.8333333333	10.5	1
3.3333333333	9.9	1
0.6666666667	10	1
3.6666666667	9	1
0.5	11	1
0.25	10.2	1
6.3333333333	9.2	1
6.0833333333	9.6	1
4.6666666667	9.4	1
2	9.7	1
3.25	10.4	1
1.25	9.4	1
0.4166666667	10.3	1
7.4166666667	9.8	1
3.5833333333	10.1	1
4.25	10.6	1
1.8333333333	10.9	1
8.25	10.9	1
1.75	9	1
1.0833333333	9.5	1
7.75	9	1
0.3333333333	9.4	1
3.3333333333	10.1	1
4.3333333333	10.1	1
5.9166666667	10.7	1
2.4166666667	10.6	1
7	10.2	1
1.3333333333	9.5	1
0.25	10.2	1
4.0833333333	10.9	1
0.1666666667	9.6	1
8.1666666667	10.6	1
4.5833333333	9.2	1
