1	18
2	22
3	33
4	44
5	41
6	46
7	67
8	66
9	82
10	72
11	76
12	82
13	90
14	95
15	102
16	108
17	113
18	156
19	124
20	130
21	159
22	164
23	173
24	179
25	210
26	218
27	200
28	236
29	215
30	221
31	228
32	235
33	208
34	216
35	255
36	264
37	307
38	316
39	244
40	252
41	338
42	262
43	312
44	363
45	325
46	379
47	293
48	395
49	353
50	362
51	318
52	427
53	381
54	443
55	451
56	348
57	467
58	418
59	482
60	431
61	376
62	383
63	514
64	458
65	402
66	406
67	412
68	420
69	562
70	571
71	579
72	516
73	450
74	529
75	460
76	542
77	473
78	634
79	565
80	652
81	577
82	503
83	509
84	683
85	607
86	528
87	533
88	540
89	544
90	732
91	556
92	562
93	570
94	670
95	675
96	587
97	593
98	599
99	704
100	711
